Név,Dátum,Nyitó ár,Maximum ár,Minimum ár,Utolsó ár
BUX,2016.03.18.,25770.704544,26386.874599,25770.704544,25938.6541
BUX,2016.03.21.,25957.625495,26147.686622,25719.828478,25832.370781
BUX,2016.03.22.,25856.521277,25926.831744,25699.318476,25878.609707
BUX,2016.03.23.,25878.752189,25983.188937,25532.111984,25697.584604
BUX,2016.03.24.,25708.902566,25709.352049,25432.741933,25446.07328
BUX,2016.03.29.,25445.332896,25874.16749,25445.332896,25737.404165
BUX,2016.03.30.,25743.063146,26314.566988,25743.063146,26314.302494
BUX,2016.03.31.,26326.950093,26452.406958,26132.525936,26451.019151
BUX,2016.04.01.,26449.689515,26451.019151,26165.472465,26310.880963
BUX,2016.04.04.,26343.07949,26438.66865,26247.767152,26412.095366
BUX,2016.04.05.,26402.771859,26414.089821,26148.960029,26210.413091
BUX,2016.04.06.,26218.210574,26317.744594,26116.774651,26298.109579
BUX,2016.04.07.,26313.100557,26440.057954,26306.400007,26397.456479
BUX,2016.04.08.,26434.438644,26528.750965,26329.99003,26513.450281
BUX,2016.04.11.,26544.324838,26650.443955,26237.064091,26268.416143
BUX,2016.04.12.,26305.617006,26365.088939,25892.422036,26027.139017
BUX,2016.04.13.,26106.969529,26425.897462,26106.827047,26412.02915
BUX,2016.04.14.,26409.75981,26926.609731,26409.617327,26926.609731
BUX,2016.04.15.,26935.828635,27158.484121,26905.479441,27142.260473
BUX,2016.04.18.,27062.332516,27146.093844,26756.58862,27081.719164
BUX,2016.04.19.,27095.022641,27380.847294,27095.016744,27271.781692
BUX,2016.04.20.,27269.453376,27334.946743,27080.24688,27192.031034
BUX,2016.04.21.,27202.889618,27249.27979,26882.883434,27009.945831
BUX,2016.04.22.,26971.310761,27025.143093,26693.906459,26747.08643
BUX,2016.04.25.,26723.63853,26904.605116,26481.054269,26904.605116
BUX,2016.04.26.,26859.615061,26960.405723,26789.708261,26861.115694
BUX,2016.04.27.,26858.146267,27020.544085,26841.169325,26988.762389
BUX,2016.04.28.,26953.302178,27014.825855,26792.545342,26840.750381
BUX,2016.04.29.,26865.344594,27074.994937,26794.999095,26871.594458
BUX,2016.05.02.,26884.307077,27013.401298,26808.139667,26869.013046
BUX,2016.05.03.,26885.632576,26952.696906,26513.957893,26539.157087
BUX,2016.05.04.,26541.45997,26615.392304,26167.815741,26212.154242
BUX,2016.05.05.,26276.202884,26434.435705,26088.851896,26240.142711
BUX,2016.05.06.,26215.412494,26295.460438,26114.726689,26128.844628
BUX,2016.05.09.,26219.853,26639.518092,26208.463266,26623.714073
BUX,2016.05.10.,26654.585622,26899.842423,26592.845036,26899.842423
BUX,2016.05.11.,26874.629852,26906.25834,26662.783225,26845.225312
BUX,2016.05.12.,26845.22572,27006.100468,26795.658143,26850.526968
BUX,2016.05.13.,26851.170722,26882.374423,26488.560919,26556.350152
BUX,2016.05.17.,26621.545556,26692.199301,26247.314583,26247.314583
BUX,2016.05.18.,26265.892266,26275.342278,25902.788841,26026.212131
BUX,2016.05.19.,26020.248476,26118.758362,25742.560289,25742.845253
BUX,2016.05.20.,25766.44901,26434.479565,25766.306528,26434.479565
BUX,2016.05.23.,26497.296867,26799.290527,26313.564564,26368.247005
BUX,2016.05.24.,26414.691211,26746.680133,26368.247005,26711.671806
BUX,2016.05.25.,26720.536859,26855.160308,26704.473103,26704.473103
BUX,2016.05.26.,26744.506757,26862.992097,26634.029609,26656.810832
BUX,2016.05.27.,26665.763078,27068.756318,26665.671081,27011.721265
BUX,2016.05.30.,27027.235107,27119.334767,27005.347486,27089.71785
BUX,2016.05.31.,27201.371052,27208.167785,26521.185231,26521.185231
BUX,2016.06.01.,26677.488469,26989.593542,26624.473951,26989.593542
BUX,2016.06.02.,26989.736024,27219.432147,26907.764274,27208.415518
BUX,2016.06.03.,27246.379057,27254.690363,27123.779038,27134.17293
BUX,2016.06.06.,27141.052383,27259.925649,27051.288466,27089.00043
BUX,2016.06.07.,27088.577678,27397.883575,27088.577678,27394.185731
BUX,2016.06.08.,27393.903896,27477.507828,27264.252068,27396.885941
BUX,2016.06.09.,27383.940666,27422.934526,26866.760989,26975.909937
BUX,2016.06.10.,26953.673809,27029.600336,26519.613954,26519.613954
BUX,2016.06.13.,26495.322145,26519.898918,25750.946534,25830.594243
BUX,2016.06.14.,25802.791466,25936.030595,25403.182191,25830.996995
BUX,2016.06.15.,25878.975386,26501.36825,25830.996995,26318.092649
BUX,2016.06.16.,26317.743754,26317.886236,25808.596366,25814.829882
BUX,2016.06.17.,25812.384838,26291.000892,25812.384838,26242.502742
BUX,2016.06.20.,26307.583804,26731.421793,26242.36026,26563.589647
BUX,2016.06.21.,26570.611583,26885.721094,26508.565728,26811.374434
BUX,2016.06.22.,26823.067994,26953.862873,26661.841611,26789.352566
BUX,2016.06.23.,26788.845946,26999.097543,26674.763947,26924.092117
BUX,2016.06.24.,26923.142334,26923.807152,25126.356123,25724.908517
BUX,2016.06.27.,25780.941142,26036.032093,25315.323008,25390.225394
BUX,2016.06.28.,25407.65368,26247.328343,25390.113341,26226.837029
BUX,2016.06.29.,26256.090259,26472.318271,26226.837029,26383.320825
BUX,2016.06.30.,26435.847691,26590.328835,26272.395201,26325.596874
BUX,2016.07.01.,26316.24396,26467.072742,26271.647429,26328.674335
BUX,2016.07.04.,26305.267883,26445.355592,26204.19041,26268.111041
BUX,2016.07.05.,26268.77586,26425.874951,26133.228043,26425.874951
BUX,2016.07.06.,26415.131175,26524.983962,26185.645105,26491.019392
BUX,2016.07.07.,26496.866172,26981.436013,26496.866172,26970.447828
BUX,2016.07.08.,26970.147571,27101.583226,26828.799868,27026.297007
BUX,2016.07.11.,26980.390909,27418.057389,26910.442455,27418.057389
BUX,2016.07.12.,27417.914907,27590.827812,27266.30657,27396.221955
BUX,2016.07.13.,27401.918613,27521.805968,27112.65334,27192.324513
BUX,2016.07.14.,27204.468458,27253.043039,27011.238954,27163.419383
BUX,2016.07.15.,27169.693609,27178.570332,26974.934422,27065.970382
BUX,2016.07.18.,27072.102126,27156.309126,26912.026196,27088.216301
BUX,2016.07.19.,27094.063081,27433.309453,27023.2572,27410.142058
BUX,2016.07.20.,27424.581308,27573.512488,27348.460176,27573.512488
BUX,2016.07.21.,27579.974172,27846.619755,27573.677006,27836.096518
BUX,2016.07.22.,27844.238603,27871.40908,27635.664779,27851.632922
BUX,2016.07.25.,27863.759216,27986.215168,27850.767278,27950.235651
BUX,2016.07.26.,27950.235651,28039.03863,27850.301101,28014.126199
BUX,2016.07.27.,28047.145916,28100.585663,27751.843256,27781.04732
BUX,2016.07.28.,27778.328627,27781.04732,27500.011684,27628.470298
BUX,2016.07.29.,27653.384445,27737.065275,27449.720757,27628.172287
BUX,2016.08.01.,27645.21907,27863.638745,27373.285532,27468.880301
BUX,2016.08.02.,27429.049856,27530.661956,27167.071077,27167.071077
BUX,2016.08.03.,27301.64092,27352.249754,27001.480353,27023.935653
BUX,2016.08.04.,27029.617914,27574.383898,27023.771134,27574.383898
BUX,2016.08.05.,27591.924238,27633.239726,27098.237295,27311.453933
BUX,2016.08.08.,27311.453933,27429.678099,27186.95203,27357.855943
BUX,2016.08.09.,27358.020462,27593.095449,27312.30947,27593.095449
BUX,2016.08.10.,27604.789009,27622.526853,27383.545726,27502.223228
BUX,2016.08.11.,27571.982511,27645.278548,27462.890741,27524.411523
BUX,2016.08.12.,27580.144734,27826.275812,27524.411523,27812.88701
BUX,2016.08.15.,27815.235997,27955.059265,27799.340537,27868.79051
BUX,2016.08.16.,27802.182526,27831.966686,27631.475145,27671.683395
